date,time_entry,time_exit,entry_time,hold_seconds,symbol,strategy,direction,entry_price,exit_price,qty,pnl_usd,pnl_pct,exit_reason,notes
2026-08-13,18:57:16,14:22:32,2026-08-12T18:57:16.299929+00:00,69916.1,XLF,breakout_momentum,long,57.925,58.295,56.36782,20.86,0.639,tp,
2026-08-13,13:45:03,14:29:48,2026-08-13T13:45:03.032182+00:00,2685.1,QQQ,breakout_momentum,long,727.63,732.93,4.472063,23.7,0.728,tp,
2026-08-13,14:42:02,14:42:26,2026-08-12T14:42:02.586148+00:00,86423.4,JNJ,supertrend,long,260.0,260.91,12.567948,11.44,0.35,time_limit,
2026-08-13,14:56:27,14:57:27,2026-08-12T14:56:27.119822+00:00,86460.2,AMZN,breakout_momentum,short,268.58,268.13,12,5.4,0.168,time_limit,
2026-08-13,15:01:10,15:58:36,2026-08-13T15:01:10.779806+00:00,3445.4,BTC/USD,supertrend,long,63837.145,63448.19,0.051018,-19.84,-0.609,sl,
2026-08-13,06:27:04,16:40:00,2026-08-13T06:27:04.763344+00:00,36775.9,ETH/USD,supertrend,long,1892.75,1868.155,1.722922,-42.38,-1.299,sl,
2026-08-13,18:50:14,20:01:31,2026-08-13T18:50:14.831410+00:00,4276.6,ARKK,supertrend,long,82.435,82.0,39.495311,-17.18,-0.528,sl,
2026-08-13,21:53:03,21:55:08,2026-08-13T21:53:03.218636+00:00,124.9,BCH/USD,supertrend,long,205.559,204.789,15.863419,-12.21,-0.375,sl,
2026-08-13,21:56:09,21:58:15,2026-08-13T21:56:09.255282+00:00,125.9,ETH/USD,breakout_momentum,long,1885.453,1884.415,1.728965,-1.79,-0.055,sl,
2026-08-13,22:32:30,22:34:35,2026-08-13T22:32:30.157026+00:00,125.8,DOGE/USD,supertrend,long,0.070247,0.07007,46401.41216,-8.21,-0.252,sl,
2026-08-14,00:03:00,05:13:41,2026-08-14T00:03:00.861609+00:00,18640.9,LINK/USD,breakout_momentum,long,8.871,8.77,367.350637,-37.1,-1.139,sl,
2026-08-14,13:56:23,08:03:04,2026-08-13T13:56:23.361138+00:00,65201.0,NFLX,breakout_momentum,long,77.24,79.4,42.134237,91.01,2.796,tp,
2026-08-14,13:52:19,13:58:36,2026-08-14T13:52:19.513050+00:00,376.7,NIO,breakout_momentum,long,4.525,4.5,717.837238,-17.95,-0.552,sl,
2026-08-14,13:33:01,14:19:32,2026-08-14T13:33:01.417427+00:00,2790.6,COIN,restored,long,151.14,148.69,21.5514,-52.8,-1.621,sl,
